Paris is the capital of France.
London is the capital of the United Kingdom.
Tokyo is the capital of Japan.
Berlin is the capital of Germany.  
Rome is the capital of Italy.  
Madrid is the capital of Spain.  
Ottawa is the capital of Canada.  
Canberra is the capital of Australia.  
Beijing is the capital of China.  
New Delhi is the capital of India.  
Brasília is the capital of Brazil.  
Moscow is the capital of Russia.  
Cairo is the capital of Egypt.  
New Mexico is the capital of Mexico.
World Capitals

Europe:
Berlin is the capital of Germany.
Rome is the capital of Italy.
Madrid is the capital of Spain.
Paris is the capital of France.
London is the capital of the United Kingdom.
Amsterdam is the capital of the Netherlands.
Brussels is the capital of Belgium.
Vienna is the capital of Austria.
Bern is the capital of Switzerland.
Stockholm is the capital of Sweden.
Oslo is the capital of Norway.
Copenhagen is the capital of Denmark.
Helsinki is the capital of Finland.
Warsaw is the capital of Poland.
Prague is the capital of Czech Republic.
Budapest is the capital of Hungary.
Bucharest is the capital of Romania.
Sofia is the capital of Bulgaria.
Athens is the capital of Greece.
Lisbon is the capital of Portugal.
Dublin is the capital of Ireland.
Reykjavik is the capital of Iceland.
Tallinn is the capital of Estonia.
Riga is the capital of Latvia.
Vilnius is the capital of Lithuania.
Zagreb is the capital of Croatia.
Ljubljana is the capital of Slovenia.
Bratislava is the capital of Slovakia.
Kiev is the capital of Ukraine.
Minsk is the capital of Belarus.

North America:
Ottawa is the capital of Canada.
Washington, D.C. is the capital of the United States.
Mexico City is the capital of Mexico.
Guatemala City is the capital of Guatemala.
Belize City is the capital of Belize.
San Salvador is the capital of El Salvador.
Tegucigalpa is the capital of Honduras.
Managua is the capital of Nicaragua.
San José is the capital of Costa Rica.
Panama City is the capital of Panama.
Havana is the capital of Cuba.
Kingston is the capital of Jamaica.
Port-au-Prince is the capital of Haiti.
Santo Domingo is the capital of Dominican Republic.

South America:
Brasília is the capital of Brazil.
Buenos Aires is the capital of Argentina.
Santiago is the capital of Chile.
Lima is the capital of Peru.
Bogotá is the capital of Colombia.
Caracas is the capital of Venezuela.
Quito is the capital of Ecuador.
La Paz is the capital of Bolivia.
Asunción is the capital of Paraguay.
Montevideo is the capital of Uruguay.
Georgetown is the capital of Guyana.
Paramaribo is the capital of Suriname.
Cayenne is the capital of French Guiana.

Asia:
Beijing is the capital of China.
New Delhi is the capital of India.
Tokyo is the capital of Japan.
Seoul is the capital of South Korea.
Pyongyang is the capital of North Korea.
Bangkok is the capital of Thailand.
Hanoi is the capital of Vietnam.
Manila is the capital of Philippines.
Jakarta is the capital of Indonesia.
Kuala Lumpur is the capital of Malaysia.
Singapore is the capital of Singapore.
Yangon is the capital of Myanmar.
Phnom Penh is the capital of Cambodia.
Vientiane is the capital of Laos.
Dhaka is the capital of Bangladesh.
Islamabad is the capital of Pakistan.
Kabul is the capital of Afghanistan.
Tehran is the capital of Iran.
Baghdad is the capital of Iraq.
Damascus is the capital of Syria.
Beirut is the capital of Lebanon.
Amman is the capital of Jordan.
Riyadh is the capital of Saudi Arabia.
Kuwait City is the capital of Kuwait.
Doha is the capital of Qatar.
Abu Dhabi is the capital of United Arab Emirates.
Muscat is the capital of Oman.
Sanaa is the capital of Yemen.
Ankara is the capital of Turkey.
Yerevan is the capital of Armenia.
Baku is the capital of Azerbaijan.
Tbilisi is the capital of Georgia.
Ashgabat is the capital of Turkmenistan.
Tashkent is the capital of Uzbekistan.
Dushanbe is the capital of Tajikistan.
Bishkek is the capital of Kyrgyzstan.
Almaty is the capital of Kazakhstan.
Ulaanbaatar is the capital of Mongolia.
Kathmandu is the capital of Nepal.
Thimphu is the capital of Bhutan.
Colombo is the capital of Sri Lanka.
Malé is the capital of Maldives.

Africa:
Cairo is the capital of Egypt.
Tripoli is the capital of Libya.
Tunis is the capital of Tunisia.
Algiers is the capital of Algeria.
Rabat is the capital of Morocco.
Khartoum is the capital of Sudan.
Addis Ababa is the capital of Ethiopia.
Nairobi is the capital of Kenya.
Kampala is the capital of Uganda.
Kigali is the capital of Rwanda.
Bujumbura is the capital of Burundi.
Dodoma is the capital of Tanzania.
Lusaka is the capital of Zambia.
Harare is the capital of Zimbabwe.
Gaborone is the capital of Botswana.
Windhoek is the capital of Namibia.
Cape Town is the legislative capital of South Africa.
Maseru is the capital of Lesotho.
Mbabane is the capital of Eswatini.
Maputo is the capital of Mozambique.
Antananarivo is the capital of Madagascar.
Lilongwe is the capital of Malawi.
Luanda is the capital of Angola.
